Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Porsche 911;Porsche;911;2022;Oktobris;3,7;Benzīns;Automāts;Pelēka;Kupeja;209000;25000
Porsche 911;Porsche;911;2022;Augusts;3,7;Benzīns;Automāts;Pelēka;Kupeja;199000;8891
Porsche Cayman;Porsche;Cayman;2022;Jūlijs;4;Benzīns;Automāts;Pelēka;Kupeja;189000;1272
Porsche 911;Porsche;911;2018;Maijs;4;Benzīns;Automāts;Melna;Kupeja;149900;19627
Porsche 911;Porsche;911;2023;Jūnijs;3;Benzīns;Automāts;Pelēka;Kupeja;137000;22001
Porsche Cayenne;Porsche;Cayenne;2024;Jūlijs;3;Benzīns;Automāts;Pelēkametālika;Apvidus;130990;1200
Porsche 911;Porsche;911;2020;Janvāris;3;Benzīns;Automāts;Zaļa;Kupeja;123000;44600
Porsche 911;Porsche;911;2021;Jūlijs;2,9;Benzīns;Automāts;Zaļametālika;Kupeja;123000;14100
Porsche 911;Porsche;911;2020;Jūlijs;3;Benzīns;Automāts;Zaļametālika;Kupeja;117200;56500
Porsche Cayenne;Porsche;Cayenne;2019;Septembris;4;Benzīns;Automāts 8 ātrumi;Melnametālika;Apvidus;117000;15806
Porsche Cayenne;Porsche;Cayenne;2022;Janvāris;4;Benzīns;Automāts 8 ātrumi;Baltametālika;Apvidus;105500;55105
Porsche 911;Porsche;911;2020;Oktobris;3;Benzīns;Automāts 8 ātrumi;Melna;Kupeja;105000;28530
Porsche Cayenne;Porsche;Cayenne;2019;Novembris;4;Benzīns;Automāts;Oranža;Apvidus;99000;112280
Porsche Taycan;Porsche;Taycan;2023;Jūlijs;;;Automāts;Pelēka;Sedans;94000;15500
Porsche Cayenne;Porsche;Cayenne;2021;;3;Benzīns;Automāts;Pelēka;Apvidus;92900;29995
Porsche Cayenne;Porsche;Cayenne;2023;Jūlijs;3;Hybrid;Automāts;Balta;Kupeja;90700;24513
Porsche 911;Porsche;911;2011;;3,8;Benzīns;Automāts;Zila;Kupeja;89900;38636
Porsche Cayenne;Porsche;Cayenne;2022;Jūnijs;3;Hybrid;Automāts;Melna;Apvidus;88800;47100
Porsche Macan;Porsche;Macan;2022;Janvāris;2,9;Benzīns;Automāts;Oranžametālika;Apvidus;88000;25600
Porsche Taycan;Porsche;Taycan;2023;Februāris;;;Automāts;Pelēkametālika;Sedans;87990;16000
Porsche Cayenne;Porsche;Cayenne;2021;Februāris;2,9;Benzīns;Automāts 8 ātrumi;Sudrabametālika;Apvidus;86000;39000
Porsche Cayenne;Porsche;Cayenne;2022;;3;Benzīns;Automāts;Melna;Kupeja;85000;20500
Porsche 911;Porsche;911;1991;Jūnijs;3,6;Benzīns;Automāts;Melnametālika;Kupeja;85000;91000
Porsche 911;Porsche;911;2016;Decembris;3;Benzīns;Automāts 7 ātrumi;Melna;Kabriolets;83500;23000
Porsche Panamera;Porsche;Panamera;2019;Marts;4;Benzīns;Automāts;Zilametālika;Sedans;82000;67730
Porsche Cayenne;Porsche;Cayenne;2020;Augusts;3;Hybrid;Automāts 8 ātrumi;Pelēkametālika;Apvidus;81000;51261
Kia Citi;Kia;Citi;2024;Janvāris;;;Automāts;Melnametālika;Apvidus;79900;13484
Porsche Panamera;Porsche;Panamera;2016;Decembris;4;Benzīns;Automāts 8 ātrumi;Pelēkametālika;Sedans;77700;74500
Porsche Panamera;Porsche;Panamera;2019;Novembris;4;Benzīns;Automāts;Pelēka;Sedans;77000;82484
Porsche Panamera;Porsche;Panamera;2017;Septembris;3;Hybrid;Automāts;Zila;Hečbeks;75000;113000
Porsche Taycan;Porsche;Taycan;2021;Oktobris;;;Automāts;Baltametālika;Sedans;72990;57000
Porsche Panamera;Porsche;Panamera;2019;Maijs;3;Benzīns;Automāts;Pelēkametālika;Kupeja;70180;104052
Porsche Boxster;Porsche;Boxster;2018;Aprīlis;2,5;Benzīns;Automāts 7 ātrumi;Zaļa;Kabriolets;70000;44348
Porsche 911;Porsche;911;1992;Novembris;3,6;Benzīns;Automāts;Sarkana;Kupeja;69964;135824
Porsche Panamera;Porsche;Panamera;2018;Jūnijs;2,9;Benzīns;Automāts;Pelēka;Sedans;69900;63000
Porsche Taycan;Porsche;Taycan;2020;Jūnijs;;;Automāts;Sudrabametālika;Sedans;69500;41500
Toyota Highlander;Toyota;Highlander;2024;;2,5;Hybrid;Automāts;Pelēkametālika;Apvidus;65500;21
Porsche Cayenne;Porsche;Cayenne;2018;Augusts;2,9;Benzīns;Automāts;Melna;Apvidus;64995;111995
Porsche Cayenne;Porsche;Cayenne;2019;Oktobris;3;Hybrid;Automāts;Balta;Apvidus;63900;109500
Porsche Macan;Porsche;Macan;2022;Jūlijs;2;Benzīns;Automāts 7 ātrumi;Sudraba;Apvidus;60900;18073
Porsche Cayenne;Porsche;Cayenne;2020;Jūnijs;3;Benzīns;Automāts 8 ātrumi;Pelēkametālika;Apvidus;59990;49875
Toyota Land Cruiser;Toyota;Land Cruiser;2023;Jūnijs;3;Dīzelis;Automāts 6 ātrumi;Melnametālika;Apvidus;59900;21000
Porsche Panamera;Porsche;Panamera;2017;Oktobris;2,9;Benzīns;Automāts;Baltametālika;Sedans;59900;98000
Toyota Land Cruiser;Toyota;Land Cruiser;2022;;2,8;Dīzelis;Automāts 6 ātrumi;Zilametālika;Apvidus;59890;32742
Porsche Cayenne;Porsche;Cayenne;2018;Septembris;3;Hybrid;Automāts;Zila;Apvidus;58990;160000
Porsche Taycan;Porsche;Taycan;2021;;;;Automāts;Melnametālika;Sedans;58600;76000
Porsche Cayenne;Porsche;Cayenne;2019;;3;Benzīns;Automāts;Baltametālika;Apvidus;57990;
Toyota RAV 4;Toyota;RAV 4;2023;Maijs;2,5;Hybrid;Automāts;Baltametālika;Apvidus;57990;2454
Kia Citi;Kia;Citi;2024;Augusts;;;Automāts;Sarkanametālika;Apvidus;57500;10
Porsche Cayenne;Porsche;Cayenne;2019;Maijs;3;Benzīns;Automāts;Pelēkametālika;Apvidus;57490;67700
Toyota Hilux;Toyota;Hilux;2024;;2,8;Dīzelis;Automāts;Zaļametālika;Pikaps;56900;1890
Cupra Formentor;Cupra;Formentor;2023;Jūnijs;2,5;Benzīns;Automāts 7 ātrumi;Melnametālika;Apvidus;55990;10000
Hyundai Citi;Hyundai;Citi;2023;Janvāris;2,2;Dīzelis;Automāts;Pelēkametālika;Minivens;55900;2260
Porsche Cayenne;Porsche;Cayenne;2018;Jūlijs;3;Benzīns;Automāts;Zilametālika;Apvidus;55500;71263
Porsche Macan;Porsche;Macan;2021;Augusts;2;Benzīns;Automāts 7 ātrumi;Baltametālika;Apvidus;55000;39200
Toyota RAV 4;Toyota;RAV 4;2023;Maijs;2,5;Hybrid;Automāts;Pelēkametālika;Apvidus;54990;12278
Toyota Citi;Toyota;Citi;2023;Maijs;;;Automāts;Zilametālika;Apvidus;54990;5722
Toyota Hilux;Toyota;Hilux;2024;Maijs;2,8;Dīzelis;Automāts;Oranžametālika;Pikaps;54990;300
Toyota Hilux;Toyota;Hilux;2023;Jūnijs;2,8;Dīzelis;Automāts;Pelēka;Pikaps;54900;9200
Porsche Cayenne;Porsche;Cayenne;2019;Maijs;3;Benzīns;Automāts;Zila;Apvidus;54900;72141
Toyota Land Cruiser;Toyota;Land Cruiser;2022;Decembris;2,8;Dīzelis;Automāts 6 ātrumi;Pelēkametālika;Apvidus;54000;100000
Cupra Formentor;Cupra;Formentor;2023;Maijs;2,5;Benzīns;Automāts;Melnametālika;Apvidus;54000;26000
Toyota Land Cruiser;Toyota;Land Cruiser;2022;Augusts;2,8;Dīzelis;Automāts;Melnametālika;Apvidus;53950;61000
Porsche Cayenne;Porsche;Cayenne;2017;;3;Hybrid;Automāts;Balta;Apvidus;53500;39999
Porsche Panamera;Porsche;Panamera;2017;Janvāris;4;Dīzelis;Automāts;Balta;Sedans;53490;215000
Porsche Cayenne;Porsche;Cayenne;2018;Augusts;3;Benzīns;Automāts 9 ātrumi;Zilametālika;Apvidus;53000;88000
Porsche Macan;Porsche;Macan;2019;;2;Benzīns;Automāts;Pelēka;Apvidus;52900;66800
Kia Citi;Kia;Citi;2023;Augusts;;;Automāts;Melna;Apvidus;52900;10160
Toyota Hilux;Toyota;Hilux;2023;Septembris;2,8;Dīzelis;Automāts 6 ātrumi;Melnametālika;Pikaps;52700;3500
Nissan Citi;Nissan;Citi;2022;Novembris;;;Automāts;Brūnametālika;Apvidus;52700;11000
Toyota Citi;Toyota;Citi;2023;Maijs;;;Automāts;Pelēkametālika;Apvidus;52500;6600
Toyota Hilux;Toyota;Hilux;2024;Marts;2,8;Dīzelis;Automāts;NA;Apvidus;52490;3000
Toyota Tundra;Toyota;Tundra;2021;;5,7;Benzīns;Automāts;Pelēkametālika;Pikaps;52200;99300
Porsche Panamera;Porsche;Panamera;2017;;3;Benzīns;Automāts;Melnametālika;Sedans;51900;145000
Toyota RAV 4;Toyota;RAV 4;2022;Jūlijs;2,5;Hybrid;Automāts;Baltametālika;Apvidus;51900;
Hyundai Ioniq;Hyundai;Ioniq;2024;;;;Automāts;Melnametālika;Sedans;51480;16
Hyundai Ioniq;Hyundai;Ioniq;2023;Septembris;;;Automāts;Zila;Hečbeks;50938;9320
Porsche Panamera;Porsche;Panamera;2017;Jūlijs;4;Dīzelis;Automāts 9 ātrumi;Sudrabametālika;Hečbeks;50880;128456
Toyota Land Cruiser;Toyota;Land Cruiser;2021;;3;Dīzelis;Automāts;Melna;Apvidus;50500;66000
Hyundai Ioniq;Hyundai;Ioniq;2023;Jūlijs;;;Automāts;Melna;Kupeja;50459;12917
Porsche Panamera;Porsche;Panamera;2014;;3;Hybrid;Automāts;Pelēkametālika;Sedans;49999;100580
Toyota Prius;Toyota;Prius;2023;Augusts;2;Hybrid;Automāts;Dzeltena;-;49990;11
Toyota Prius;Toyota;Prius;2023;Augusts;2;Hybrid;Automāts;Dzeltenametālika;Hečbeks;49990;5069
Toyota Proace;Toyota;Proace;2023;;2;Dīzelis;Automāts;Brūna;Mikroautobuss;49900;8500
Porsche Macan;Porsche;Macan;2018;Februāris;3;Dīzelis;Automāts 7 ātrumi;Balta;Apvidus;49900;72914
Porsche Cayman;Porsche;Cayman;2018;Augusts;2;Benzīns;Automāts 7 ātrumi;Pelēkametālika;Kupeja;49900;73300
Toyota RAV 4;Toyota;RAV 4;2023;Jūnijs;;;Automāts;Baltametālika;Apvidus;49500;
Toyota Highlander;Toyota;Highlander;2021;Septembris;2,5;Hybrid;Automāts 8 ātrumi;Baltametālika;Apvidus;49000;76000
Toyota Prius;Toyota;Prius;2023;Septembris;2;Hybrid;Automāts;Pelēkametālika;Hečbeks;47990;22359
Porsche Cayenne;Porsche;Cayenne;2018;Aprīlis;3;Benzīns;Automāts;Balta;Apvidus;47990;115757
Toyota Land Cruiser;Toyota;Land Cruiser;2018;Augusts;2,8;Dīzelis;Automāts 6 ātrumi;Zilametālika;Apvidus;47950;86000
Hyundai Ioniq;Hyundai;Ioniq;2024;;;;Automāts;Zila;Hečbeks;46990;15
Hyundai Ioniq;Hyundai;Ioniq;2024;;;;Automāts;Melnametālika;Hečbeks;46970;16
Toyota Highlander;Toyota;Highlander;2021;Marts;2,5;Hybrid;Automāts;Melnametālika;Apvidus;46700;56912
Porsche Cayenne;Porsche;Cayenne;2018;Jūnijs;3;Benzīns;Automāts;Melnametālika;Apvidus;46500;85350
Toyota C-HR;Toyota;C-HR;2023;Decembris;2;Hybrid;Automāts;Sudrabametālika;Apvidus;45990;657
Toyota Camry;Toyota;Camry;2024;Maijs;2,5;Hybrid;Automāts;Baltametālika;Sedans;45990;3
Toyota Land Cruiser;Toyota;Land Cruiser;2020;Marts;2,8;Dīzelis;Automāts;Sudrabametālika;Apvidus;45200;83400
Porsche Panamera;Porsche;Panamera;2013;Decembris;3;Benzīns;Automāts 7 ātrumi;Melnametālika;Sedans;44999;57213
Toyota C-HR;Toyota;C-HR;2024;;2;Hybrid;Automāts;Dzeltenametālika;Apvidus;44990;10
Porsche Cayenne;Porsche;Cayenne;2017;Decembris;3;Benzīns;Automāts;Melna;Apvidus;44900;164600
Toyota RAV 4;Toyota;RAV 4;2023;Novembris;2,5;Hybrid;Automāts 9 ātrumi;Pelēka;Apvidus;44900;7426
Nissan X-Trail;Nissan;X-Trail;2024;;1,5;Hybrid;Automāts;Pelēkametālika;Apvidus;44900;11000
Porsche Panamera;Porsche;Panamera;2016;Janvāris;3,6;Benzīns;Automāts;Pelēka;Hečbeks;44900;26993
Porsche Cayenne;Porsche;Cayenne;2018;Jūnijs;3;Benzīns;Automāts;Melnametālika;Apvidus;44900;
Toyota C-HR;Toyota;C-HR;2024;;2;Hybrid;Automāts;Oranžametālika;Apvidus;44800;10
Toyota Land Cruiser;Toyota;Land Cruiser;2018;Janvāris;2,8;Dīzelis;Automāts 6 ātrumi;Zilametālika;Apvidus;44590;80520
Hyundai Ioniq;Hyundai;Ioniq;2023;;;;Automāts;Zila;Hečbeks;44587;30134
Hyundai Santa FE;Hyundai;Santa FE;2023;Marts;1,6;Hybrid;Automāts;Balta;Apvidus;44500;24471
Kia Sorento;Kia;Sorento;2023;Marts;2,2;Dīzelis;Automāts;Baltametālika;Apvidus;44450;38000
Toyota Land Cruiser;Toyota;Land Cruiser;2015;Marts;4,5;Dīzelis;Automāts;Baltametālika;Apvidus;44000;
Toyota Land Cruiser;Toyota;Land Cruiser;2018;Februāris;2,8;Dīzelis;Automāts;Zilametālika;Apvidus;43990;174000
Toyota Corolla;Toyota;Corolla;2024;Jūnijs;2;Hybrid;Automāts;Pelēkametālika;Apvidus;43990;8
Kia Niro;Kia;Niro;2023;Augusts;;;Automāts;Oranžametālika;Apvidus;43900;8831
Porsche 911;Porsche;911;2007;;3,8;Benzīns;Automāts;Sarkana;Kabriolets;43900;185000
Kia Sorento;Kia;Sorento;2021;Jūlijs;1,6;Hybrid;Automāts 6 ātrumi;Brūna;Apvidus;43800;40300
Toyota Highlander;Toyota;Highlander;2021;Jūnijs;2,5;Hybrid;Automāts 8 ātrumi;Melnametālika;Apvidus;43700;72000
Porsche Cayenne;Porsche;Cayenne;2018;Janvāris;3;Dīzelis;Automāts 8 ātrumi;Melnametālika;Apvidus;43500;193457
Hyundai Santa FE;Hyundai;Santa FE;2021;;1,6;Hybrid;Automāts;Balta;Apvidus;43490;40375
Toyota Proace;Toyota;Proace;2022;Novembris;;;Automāts;Pelēka;Minivens;42990;9126
Hyundai Ioniq;Hyundai;Ioniq;2022;;;;Automāts;Melna;Hečbeks;42990;26144
Porsche Cayenne;Porsche;Cayenne;2017;Februāris;4,2;Dīzelis;Automāts;Tumši;Apvidus;42900;118245
Citroen Jumpy;Citroen;Jumpy;2024;Augusts;2;Benzīns;Automāts 8 ātrumi;Zila;Mikroautobuss;42540;10
Citroen Jumpy;Citroen;Jumpy;2024;Augusts;2;Benzīns;Automāts 8 ātrumi;Zila;Mikroautobuss;42540;10
Porsche Panamera;Porsche;Panamera;2016;Aprīlis;3,6;Benzīns;Automāts 8 ātrumi;Baltametālika;Universāls;42000;85900
Nissan X-Trail;Nissan;X-Trail;2023;Marts;1,5;Benzīns;Automāts;Oranžametālika;Apvidus;41990;25000
Toyota Corolla;Toyota;Corolla;2024;;2;Hybrid;Automāts;Sarkanametālika;Apvidus;41900;10
Toyota Hilux;Toyota;Hilux;2022;Oktobris;2,8;Dīzelis;Automāts;Brūna;Apvidus;41900;11000
Kia Niro;Kia;Niro;2024;;;;Automāts;Pelēkametālika;Apvidus;41590;5
Nissan Citi;Nissan;Citi;2022;Novembris;;;Automāts;Pelēka;Apvidus;41550;21000
Nissan X-Trail;Nissan;X-Trail;2024;Februāris;1,5;Hybrid;Automāts;Pelēkametālika;Apvidus;41459;5432
Hyundai Kona;Hyundai;Kona;2023;;;;Automāts;Sarkana;Apvidus;41400;5957
Toyota Tundra;Toyota;Tundra;2014;Augusts;5,7;Benzīns/Gāze;Automāts 6 ātrumi;Melnametālika;Pikaps;41300;277707
Porsche Panamera;Porsche;Panamera;2016;Aprīlis;3,6;Benzīns;Automāts 8 ātrumi;Baltametālika;Hečbeks;41100;85900
Toyota RAV 4;Toyota;RAV 4;2024;Jūlijs;2,5;Hybrid;Automāts;Baltametālika;Apvidus;41070;10
Hyundai Kona;Hyundai;Kona;2023;;;;Automāts;Balta;Apvidus;40910;2000
Suzuki Citi;Suzuki;Citi;2022;;2,5;Hybrid;Automāts;Sarkanametālika;Apvidus;40900;21500
Kia Niro;Kia;Niro;2024;;;;Automāts;Melna;Hečbeks;40800;14
Toyota Land Cruiser;Toyota;Land Cruiser;2018;Jūnijs;2,8;Dīzelis;Automāts 6 ātrumi;Brūnametālika;Apvidus;40300;111980
Toyota Land Cruiser;Toyota;Land Cruiser;2018;Decembris;2,8;Dīzelis;Automāts;Zilametālika;Apvidus;40000;154000
Toyota Highlander;Toyota;Highlander;2021;Aprīlis;3,5;Benzīns;Automāts;Sudrabametālika;Apvidus;39999;32700
Cupra Formentor;Cupra;Formentor;2022;Jūnijs;2;Benzīns;Automāts;Pelēkametālika;Hečbeks;39999;20450
Toyota RAV 4;Toyota;RAV 4;2023;Augusts;2,5;Hybrid;Automāts;Melnametālika;Apvidus;39990;8508
Toyota Land Cruiser;Toyota;Land Cruiser;2020;Februāris;2,8;Dīzelis;Automāts;Balta;Apvidus;39990;40004
Toyota Proace;Toyota;Proace;2022;Februāris;;;Automāts;Brūnametālika;Minivens;39990;8659
Toyota Camry;Toyota;Camry;2023;Septembris;2,5;Hybrid;Automāts;Baltametālika;Sedans;39990;18023
Toyota Land Cruiser;Toyota;Land Cruiser;2016;Oktobris;2,8;Dīzelis;Automāts;Brūnametālika;Apvidus;39900;76113
Toyota C-HR;Toyota;C-HR;2023;Februāris;2;Hybrid;Automāts;Baltametālika;Hečbeks;39900;5500
Cupra Born;Cupra;Born;2024;Februāris;;;Automāts;Pelēka;Hečbeks;39790;5800
Kia Sportage;Kia;Sportage;2022;Aprīlis;1,6;Hybrid;Automāts;Zaļametālika;Apvidus;39700;37000
Toyota RAV 4;Toyota;RAV 4;2023;Augusts;2,5;Hybrid;Automāts;Baltametālika;Apvidus;39590;9643
Toyota Hilux;Toyota;Hilux;2020;Oktobris;2,4;Dīzelis;Automāts;Pelēkametālika;Pikaps;39550;85000
Toyota Citi;Toyota;Citi;2023;Maijs;2,5;Hybrid;Automāts;Sudrabametālika;Apvidus;39490;14534
Cupra Born;Cupra;Born;2024;Februāris;;;Automāts;Baltametālika;Hečbeks;39490;5800
Toyota RAV 4;Toyota;RAV 4;2023;Oktobris;2;Benzīns;Automāts;Melna;Apvidus;39390;10326
Toyota Sienna;Toyota;Sienna;2021;Decembris;2,5;Hybrid;Automāts 8 ātrumi;Baltametālika;Minivens;39000;
Toyota RAV 4;Toyota;RAV 4;2023;Augusts;2,5;Hybrid;Automāts;Tumši;Apvidus;38990;12364
Toyota RAV 4;Toyota;RAV 4;2023;Augusts;2,5;Hybrid;Automāts;Baltametālika;Apvidus;38990;22349
Toyota RAV 4;Toyota;RAV 4;2023;Jūlijs;2,5;Hybrid;Automāts;Zila;Apvidus;38990;6579
Toyota Corolla;Toyota;Corolla;2023;Septembris;2;Hybrid;Automāts;Sudrabametālika;Apvidus;38900;11
Cupra Formentor;Cupra;Formentor;2023;Aprīlis;2;Benzīns;Automāts;Pelēka;Apvidus;38900;15000
Toyota Land Cruiser;Toyota;Land Cruiser;2015;Jūnijs;4,5;Dīzelis;Automāts 6 ātrumi;Dzeltenametālika;Apvidus;38700;229759
Toyota C-HR;Toyota;C-HR;2023;Decembris;2;Hybrid;Automāts;Baltametālika;Apvidus;38590;2337
Hyundai Ioniq;Hyundai;Ioniq;2021;Novembris;;;Automāts;Pelēka;Apvidus;38500;70000
Citroen C5;Citroen;C5;2024;Augusts;1,2;Benzīns;Automāts 8 ātrumi;Melnametālika;Pikaps;38075;10
Porsche Macan;Porsche;Macan;2016;Aprīlis;3;Benzīns;Automāts;Sarkanametālika;Apvidus;38000;196000
Toyota RAV 4;Toyota;RAV 4;2023;Augusts;2,5;Hybrid;Automāts;Sarkanametālika;Apvidus;37990;23471
Toyota RAV 4;Toyota;RAV 4;2023;Augusts;2,5;Hybrid;Automāts;Melna;Apvidus;37990;5814
Toyota C-HR;Toyota;C-HR;2023;Decembris;2;Hybrid;Automāts;Baltametālika;Apvidus;37990;8107
Toyota RAV 4;Toyota;RAV 4;2024;;2,5;Hybrid;Automāts;Pelēka;Apvidus;37800;10
Porsche Panamera;Porsche;Panamera;2015;Novembris;3;Benzīns;Automāts 7 ātrumi;Melnametālika;Sedans;37700;177600
Cupra Formentor;Cupra;Formentor;2023;Februāris;2;Benzīns;Automāts 7 ātrumi;Pelēkametālika;Apvidus;37500;19000
Cupra Born;Cupra;Born;2023;Janvāris;;;Automāts;Sudrabametālika;Hečbeks;37500;6500
Kia Sportage;Kia;Sportage;2024;;1,6;Hybrid;Automāts;Balta;Apvidus;37240;7
Peugeot Expert;Peugeot;Expert;2024;Augusts;2;Dīzelis;Automāts 8 ātrumi;Sudrabametālika;Mikroautobuss;37000;10
Toyota Hilux;Toyota;Hilux;2019;Maijs;2,4;Dīzelis;Automāts;Pelēkametālika;Pikaps;36990;83578
Hyundai Ioniq;Hyundai;Ioniq;2022;Janvāris;;;Automāts;Melnametālika;Apvidus;36990;30500
Toyota Camry;Toyota;Camry;2023;Jūlijs;2,5;Hybrid;Automāts;Melnametālika;Sedans;36990;5062
Toyota RAV 4;Toyota;RAV 4;2024;;2,5;Hybrid;Automāts;Sarkanametālika;Apvidus;36990;10
Toyota RAV 4;Toyota;RAV 4;2023;Septembris;2,5;Hybrid;Automāts;Zilametālika;Apvidus;36990;15560
Toyota C-HR;Toyota;C-HR;2023;Novembris;2;Hybrid;Automāts;Zila;Apvidus;36990;7363
Nissan X-Trail;Nissan;X-Trail;2023;Oktobris;1,5;Hybrid;Automāts;Zilametālika;Apvidus;36980;7124
Hyundai Kona;Hyundai;Kona;2024;;1,6;Hybrid;Automāts;Balta;Apvidus;36910;16
Toyota Proace;Toyota;Proace;2024;;2;Dīzelis;Automāts;Balta;Mikroautobuss;36900;10
Cupra Formentor;Cupra;Formentor;2024;Janvāris;2;Benzīns;Automāts 7 ātrumi;Pelēkametālika;Apvidus;36900;21409
Cupra Formentor;Cupra;Formentor;2023;Septembris;2;Benzīns;Automāts;Melna;Apvidus;36500;34000
Toyota Yaris;Toyota;Yaris;2021;Maijs;1,6;Benzīns;Manuāla 6 ātrumi;Balta;Kupeja;36500;12008
Porsche Macan;Porsche;Macan;2018;Novembris;2;Benzīns;Automāts 7 ātrumi;Baltametālika;Apvidus;36500;92000
Toyota Camry;Toyota;Camry;2024;;2,5;Hybrid;Automāts;Melnametālika;Sedans;36300;10
Nissan Patrol;Nissan;Patrol;2004;Decembris;3;Dīzelis;Manuāla 5 ātrumi;Pelēkametālika;Apvidus;36000;245000
Toyota Corolla;Toyota;Corolla;2023;Marts;2;Hybrid;Automāts;Baltametālika;Apvidus;35990;6948
Toyota Land Cruiser;Toyota;Land Cruiser;2018;Februāris;2,8;Dīzelis;Automāts;Pelēkametālika;Apvidus;35990;149754
Cupra Formentor;Cupra;Formentor;2022;Marts;2;Benzīns;Automāts 7 ātrumi;Pelēka;Apvidus;35990;35811
Toyota Yaris;Toyota;Yaris;2023;Marts;1,6;Benzīns;Manuāla 6 ātrumi;Baltametālika;Hečbeks;35900;17000
Porsche Macan;Porsche;Macan;2015;Augusts;3;Benzīns;Automāts 8 ātrumi;Balta;Apvidus;35500;59300
Porsche Cayenne;Porsche;Cayenne;2011;Oktobris;4,8;Benzīns;Automāts;Balta;Apvidus;35000;112900
Nissan 300 ZX;Nissan;300 ZX;1994;;3;Benzīns;Manuāla;Sarkanametālika;Kupeja;35000;110000
Nissan Leaf;Nissan;Leaf;2023;Septembris;;;Automāts;Pelēka;Hečbeks;34998;4485
Toyota Corolla;Toyota;Corolla;2024;;1,8;Hybrid;Automāts;Zaļametālika;Universāls;34990;10
Toyota Camry;Toyota;Camry;2023;Maijs;2,5;Hybrid;Automāts;Melnametālika;Sedans;34990;9973
Toyota Proace;Toyota;Proace;2022;Decembris;2;Dīzelis;Automāts 8 ātrumi;Melnametālika;Minivens;34990;43316
Porsche Cayenne;Porsche;Cayenne;2017;Jūlijs;3;Dīzelis;Automāts;Melnametālika;Apvidus;34900;107458
Toyota Land Cruiser;Toyota;Land Cruiser;2017;Maijs;2,8;Dīzelis;Automāts 6 ātrumi;Zilametālika;Apvidus;34900;131464
Porsche Macan;Porsche;Macan;2018;Jūlijs;2;Benzīns;Automāts;Brūnametālika;Apvidus;34900;95428
Toyota Camry;Toyota;Camry;2023;Aprīlis;2,5;Hybrid;Automāts;Melnametālika;Sedans;34590;13036
Porsche Cayenne;Porsche;Cayenne;2017;Septembris;3;Dīzelis;Automāts 8 ātrumi;Balta;Apvidus;34500;
Porsche Cayenne;Porsche;Cayenne;2015;;3;Dīzelis;Automāts;Melna;Apvidus;34290;
Toyota Corolla;Toyota;Corolla;2024;Jūlijs;1,8;Hybrid;Automāts;Melnametālika;Apvidus;34160;5
Porsche Cayenne;Porsche;Cayenne;2017;Maijs;3;Dīzelis;Automāts;Baltametālika;Apvidus;34000;116812
Nissan Qashqai;Nissan;Qashqai;2023;Oktobris;1,5;Hybrid;Automāts;Baltametālika;Apvidus;33991;4300
Toyota Camry;Toyota;Camry;2023;Augusts;2,5;Hybrid;Automāts;Balta;Sedans;33990;17299
Toyota RAV 4;Toyota;RAV 4;2023;Septembris;2;Benzīns;Automāts;Pelēkametālika;Apvidus;33990;12157
Toyota Corolla;Toyota;Corolla;2023;Marts;2;Hybrid;Automāts;Baltametālika;Apvidus;33990;10469
Toyota Corolla;Toyota;Corolla;2023;Jūnijs;2;Hybrid;Automāts;Melnametālika;Apvidus;33990;4157
Toyota Yaris;Toyota;Yaris;2024;Aprīlis;1,5;Hybrid;Automāts;Pelēkametālika;Apvidus;33990;385
Toyota C-HR;Toyota;C-HR;2023;Februāris;1,8;Hybrid;Automāts;Pelēkametālika;Apvidus;33990;11922
Toyota Corolla;Toyota;Corolla;2023;Maijs;2;Hybrid;Automāts;Baltametālika;Apvidus;33990;12357
Toyota RAV 4;Toyota;RAV 4;2019;Augusts;2,5;Hybrid;Automāts 8 ātrumi;Pelēkametālika;Apvidus;33900;66500
Toyota C-HR;Toyota;C-HR;2023;Februāris;2;Hybrid;Automāts;Zilametālika;Hečbeks;33900;14600
Toyota C-HR;Toyota;C-HR;2024;;1,8;Hybrid;Automāts;Sudrabametālika;Apvidus;33700;10
Toyota Corolla;Toyota;Corolla;2023;Marts;2;Hybrid;Automāts;Zilametālika;Universāls;33500;23015
Porsche Macan;Porsche;Macan;2016;Augusts;2;Benzīns;Automāts 8 ātrumi;Melna;Apvidus;33500;130000
Toyota Supra;Toyota;Supra;1995;;3;Benzīns;Manuāla;Sarkana;Kupeja;33500;
Porsche 911;Porsche;911;2003;;3,6;Benzīns;Manuāla;Sudrabametālika;Kabriolets;33500;
Toyota Corolla;Toyota;Corolla;2023;Aprīlis;2;Hybrid;Automāts;Baltametālika;Apvidus;33490;9415
Toyota Corolla;Toyota;Corolla;2023;Jūnijs;2;Hybrid;Automāts;Pelēkametālika;Apvidus;33490;15392
Porsche Panamera;Porsche;Panamera;2011;Jūnijs;4,8;Benzīns;Automāts;Pelēkametālika;Hečbeks;33250;
Toyota C-HR;Toyota;C-HR;2024;Jūlijs;1,8;Hybrid;Automāts;Pelēkametālika;Hečbeks;33150;8
Toyota Proace;Toyota;Proace;2024;;2;Dīzelis;Automāts;Balta;Mikroautobuss;33150;915
