Model;Manuf;Model Details;Year;Month;Motor Type_0;Motor Type_1;Transmission;Color;Body Type;Price;Mileage
Toyota Corolla;Toyota;Corolla;2005;Marts;2;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Hečbeks;2100;355095
Toyota Celica;Toyota;Celica;2000;Aprīlis;1,8;Benzīns;Manuāla 6 ātrumi;Sudraba;Kupeja;2100;298757
Toyota Yaris;Toyota;Yaris;2006;Februāris;1;Benzīns;Manuāla 5 ātrumi;Sudrabametālika;Hečbeks;2100;184000
Toyota Corolla Verso;Toyota;Corolla Verso;2005;Aprīlis;1,6;Benzīns;Automāts 5 ātrumi;Pelēka;Universāls;2100;196255
Toyota Yaris;Toyota;Yaris;2007;Decembris;1,8;Benzīns;Manuāla 5 ātrumi;Pelēkametālika;Hečbeks;2100;345000
Hyundai Santa FE;Hyundai;Santa FE;2004;;2;Dīzelis;Automāts;Gaiši;Apvidus;2100;290000
Nissan Qashqai;Nissan;Qashqai;2008;Marts;1,6;Benzīns;Manuāla 5 ātrumi;Sarkanametālika;Apvidus;2100;374000
Citroen Xsara Picasso;Citroen;Xsara Picasso;2008;;1,6;Benzīns;Manuāla;Melnametālika;Minivens;2100;99500
Citroen Jumper;Citroen;Jumper;2008;;2,2;Dīzelis;Manuāla;Balta;Mikroautobuss;2100;394000
Citroen Berlingo;Citroen;Berlingo;2005;Janvāris;2;Dīzelis;Manuāla 5 ātrumi;Balta;Minivens;2100;201864
Kia Ceed;Kia;Ceed;2011;Februāris;1,6;Dīzelis;Manuāla;Pelēka;Sedans;2100;545000
Citroen C4;Citroen;C4;2007;Februāris;2;Benzīns;Manuāla 5 ātrumi;Sarkana;Kupeja;2099;185000
Toyota Corolla;Toyota;Corolla;2004;;1,6;Benzīns;Manuāla;Sarkana;Universāls;2099;207800
Toyota Avensis;Toyota;Avensis;2008;;2;Dīzelis;Manuāla 6 ātrumi;Balta;Universāls;2090;
Toyota Corolla;Toyota;Corolla;2006;Oktobris;1,4;Dīzelis;Automāts 5 ātrumi;Pelēkametālika;Hečbeks;2050;309000
Kia Ceed;Kia;Ceed;2007;;1,6;Dīzelis;Manuāla 5 ātrumi;Brūnametālika;Hečbeks;2050;289000
Toyota Corolla Verso;Toyota;Corolla Verso;2004;;2;Dīzelis;Manuāla 5 ātrumi;Sudrabametālika;Minivens;2050;346080
Toyota Corolla Verso;Toyota;Corolla Verso;2008;Aprīlis;2,2;Dīzelis;Manuāla 6 ātrumi;Melnametālika;Hečbeks;2000;280569
Toyota Avensis;Toyota;Avensis;2006;Jūnijs;2,2;Dīzelis;Manuāla 6 ātrumi;Zilametālika;Hečbeks;2000;297000
Toyota Avensis;Toyota;Avensis;2006;Jūnijs;2,2;Dīzelis;Manuāla 6 ātrumi;Pelēkametālika;Universāls;2000;160000
Toyota Corolla;Toyota;Corolla;2007;Aprīlis;1,4;Dīzelis;Manuāla;Pelēka;Hečbeks;2000;202020
Toyota Yaris;Toyota;Yaris;2008;;1,3;Benzīns;Manuāla;Pelēka;Kupeja;2000;278000
Toyota Yaris;Toyota;Yaris;2006;Septembris;1,3;Benzīns;Manuāla 5 ātrumi;Sudrabametālika;Hečbeks;2000;176450
Suzuki Grand Vitara;Suzuki;Grand Vitara;2002;;2;Dīzelis;Manuāla 5 ātrumi;Zaļa;Apvidus;2000;317000
Suzuki Grand Vitara;Suzuki;Grand Vitara;2004;;2;Dīzelis;Manuāla 5 ātrumi;Zaļametālika;Apvidus;2000;164367
